uid,DOB
309,1977-12-31
559,1978-01-07
3290,1978-01-14
912,1978-02-28
3214,1978-03-11
3453,1978-03-11
1920,1978-03-29
1376,1978-03-29
1409,1978-04-01
3160,1978-04-04
3399,1978-04-13
2422,1978-04-27
261,1978-05-26
2655,1978-05-27
3222,1978-08-02
1077,1978-08-20
1747,1978-08-30
3075,1978-09-01
401,1978-09-15
990,1978-09-22
1512,1978-09-24
1187,1978-10-01
3190,1978-11-08
3279,1978-12-06
347,1978-12-21
3309,1979-01-28
3197,1979-02-05
1970,1979-03-13
1880,1979-03-14
651,1979-03-15
303,1979-03-24
3219,1979-03-28
2954,1979-04-07
480,1979-04-10
3436,1979-04-16
305,1979-04-29
514,1979-06-08
1663,1979-07-01
3161,1979-07-30
662,1979-08-23
307,1979-09-13
2682,1979-10-21
572,1979-11-07
3252,1979-11-22
2882,1979-12-02
698,1979-12-31
3349,1980-01-01
2744,1980-01-01
3018,1980-01-05
3229,1980-01-15
306,1980-03-03
3119,1980-03-13
302,1980-03-21
3289,1980-03-25
987,1980-04-06
3322,1980-04-11
3281,1980-04-27
3104,1980-05-11
1229,1980-05-12
3183,1980-06-06
1456,1980-06-12
2423,1980-06-26
971,1980-07-09
2761,1980-07-10
963,1980-08-22
3107,1980-09-08
533,1980-11-23
2030,1980-12-29
